
Integration time [ms]:  60.000
Averaging Nr. [scans]: 20
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1701237U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 493.75;    4.300;   26.000;    0.000
 494.34;   15.800;   24.000;    0.000
 494.93;    8.500;   32.000;    0.000
 495.52;    7.100;   12.000;    0.000
 496.11;    9.500;   39.000;    0.000
 496.70;   12.200;   66.000;    0.000
 497.29;   16.050;   61.000;    0.000
 497.88;   18.950;   59.000;    0.000
 498.47;   16.450;  -23.000;    0.000
 499.06;   26.600;   63.000;    0.000
 499.64;    0.200;   14.000;    0.000
 500.23;   16.700;   -8.000;    0.000
 500.82;   20.400;   38.000;    0.000
 501.41;   23.750;   50.000;    0.000
 502.00;    5.800;   48.000;    0.000
 502.59;   22.500;   50.000;    0.000
 503.18;   16.700;   43.000;    0.000
 503.77;   13.350;   24.000;    0.000
 504.36;   26.900;   26.000;    0.000
 504.95;   20.650;    9.000;    0.000
 505.54;   19.500;   18.000;    0.000
 506.12;   21.300;  -13.000;    0.000
 506.71;   23.450;   49.000;    0.000
 507.30;   23.200;    6.000;    0.000
 507.89;   24.200;   61.000;    0.000
 508.48;   21.550;   90.000;    0.000
 509.07;   24.050;   42.000;    0.000
 509.66;   35.950;   26.000;    0.000
 510.25;   25.400;   60.000;    0.000
 510.84;   34.500;   82.000;    0.000
 511.42;   28.000;   66.000;    0.000
 512.01;   50.700;   24.000;    0.000
 512.60;   33.800;   18.000;    0.000
 513.19;   30.000;   67.000;    0.000
 513.78;   41.550;   -2.000;    0.000
 514.37;   51.500;   64.000;    0.000
 514.95;   56.950;   81.000;    0.000
 515.54;   39.450;   28.000;    0.000
 516.13;   24.800;   44.000;    0.000
 516.72;   38.300;   72.000;    0.000
 517.31;   40.250;   17.000;    0.000
 517.90;   35.600;   72.000;    0.000
 518.48;   42.000;   -1.000;    0.000
 519.07;   32.750;   25.000;    0.000
 519.66;   53.050;   55.000;    0.000
 520.25;   47.250;   36.000;    0.000
 520.84;   45.750;   21.000;    0.000
 521.43;   53.750;   13.000;    0.000
 522.01;   57.800;  -31.000;    0.000
 522.60;   58.300;   81.000;    0.000
 523.19;   39.400;   27.000;    0.000
 523.78;   41.500;   52.000;    0.000
 524.37;   57.100;   -3.000;    0.000
 524.95;   58.050;   44.000;    0.000
 525.54;   61.350;   37.000;    0.000
 526.13;   61.150;   25.000;    0.000
 526.72;   61.700;   27.000;    0.000
 527.30;   49.650;   66.000;    0.000
 527.89;   62.600;   37.000;    0.000
 528.48;   63.250;   98.000;    0.000
 529.07;   72.350;   33.000;    0.000
 529.65;   81.900;   59.000;    0.000
 530.24;   75.250;   -4.000;    0.000
 530.83;   69.250;   16.000;    0.000
 531.42;   71.550;   18.000;    0.000
 532.00;   87.050;  -18.000;    0.000
 532.59;   77.800;   70.000;    0.000
 533.18;   80.200;   53.000;    0.000
 533.77;   88.250;    3.000;    0.000
 534.35;   73.750;   20.000;    0.000
 534.94;   83.900;   36.000;    0.000
 535.53;   92.300;   58.000;    0.000
 536.12;   83.600;   13.000;    0.000
 536.70;   82.250;   23.000;    0.000
 537.29;   78.150;   83.000;    0.000
 537.88;   87.000;   69.000;    0.000
 538.46;   94.400;   28.000;    0.000
 539.05;   95.500;   42.000;    0.000
 539.64;   94.200;   66.000;    0.000
 540.23;   96.150;   53.000;    0.000
